0.7,144.72,1325.6,Blue
0.53,81.04,1828.11,Blue
3.97,196.27,11960.68,Yellow
0.83,120.12,1786.69,Blue
0.64,136.22,1344.62,Blue
3.34,158.82,11970.99,Yellow
1.5,104.3,5600.25,Red
2.47,234.0,11205.66,Yellow
0.5,124.26,1174.21,Blue
3.74,275.31,12961.78,Yellow
3.23,253.2,8229.96,Yellow
0.62,74.23,1037.26,Blue
0.59,119.28,1099.58,Blue
1.74,119.22,7140.55,Red
0.97,80.45,1171.56,Blue
2.36,148.37,8603.48,Red
0.92,92.65,1187.03,Blue
1.94,141.92,5657.99,Red
2.17,198.47,14430.54,Yellow
2.05,258.38,12395.06,Yellow
2.96,269.08,14355.23,Yellow
2.66,279.69,7679.64,Yellow
0.88,136.68,1591.46,Blue
1.71,107.46,6545.27,Red
0.72,78.18,1307.7,Blue
2.31,135.49,6550.55,Red
1.01,133.91,5554.11,Red
2.37,102.62,8632.74,Red
0.58,140.04,1426.42,Blue
0.5,102.04,1086.57,Blue
1.91,126.24,9196.8,Red
2.18,134.38,9661.65,Red
2.91,174.1,11875.12,Yellow
2.9,140.79,5139.13,Red
2.34,228.72,11371.6,Yellow
0.78,134.03,1114.51,Blue
2.58,101.85,9196.15,Red
0.57,92.71,1668.97,Blue
0.92,147.03,1706.52,Blue
0.94,124.24,1881.17,Blue
2.67,121.61,8748.19,Red
2.69,114.26,9144.02,Red
0.78,126.52,1801.25,Blue
0.68,82.4,1614.73,Blue
2.92,101.66,8060.51,Red
3.82,298.16,9351.93,Yellow
1.6,122.21,8211.81,Red
1.14,138.5,6338.81,Red
3.32,245.2,14654.04,Yellow
3.84,258.76,12280.64,Yellow
3.69,243.19,8468.77,Yellow
2.77,192.35,12841.49,Yellow
1.14,110.77,7750.19,Red
1.31,122.57,5580.17,Red
0.53,138.11,1340.83,Blue
0.83,126.74,1731.36,Blue
3.18,209.32,14188.8,Yellow
0.62,128.0,1648.2,Blue
3.53,203.83,14234.69,Yellow
1.65,114.28,8617.76,Red
2.99,297.06,11546.4,Yellow
0.95,93.21,1418.52,Blue
1.09,140.93,8946.36,Red
3.83,239.33,9404.6,Yellow
0.5,77.22,1587.2,Blue
2.81,188.09,7350.26,Yellow
2.54,206.89,10426.24,Yellow
2.89,219.62,14261.37,Yellow
0.85,134.31,1430.03,Blue
2.72,113.76,6541.95,Red
2.1,237.75,11786.14,Yellow
2.51,121.05,7432.99,Red
1.4,126.58,5191.21,Red
0.91,109.43,1494.6,Blue
0.84,104.45,1725.39,Blue
0.78,75.09,1503.86,Blue
3.08,271.56,13665.96,Yellow
0.82,95.9,1253.18,Blue
2.33,145.73,9141.48,Red
0.89,129.81,1820.35,Blue
0.9,148.97,1860.46,Blue
1.37,130.16,7128.18,Red
2.15,102.4,6706.97,Red
1.0,146.06,8594.64,Red
0.66,103.96,1410.68,Blue
0.93,122.39,1082.49,Blue
3.25,225.48,12259.62,Yellow
3.22,198.87,14461.86,Yellow
3.21,217.63,9617.96,Yellow
0.71,71.76,1453.84,Blue
3.15,288.86,12560.27,Yellow
2.54,294.67,14660.36,Yellow
1.04,126.6,9272.12,Red
2.41,276.79,8052.7,Yellow
3.39,177.64,10739.19,Yellow
1.48,148.41,5793.0,Red
0.73,76.14,1636.94,Blue
3.13,261.58,7793.69,Yellow
0.87,141.38,1716.65,Blue
0.84,90.31,1152.62,Blue
1.92,144.21,8167.55,Red
1.68,130.44,7116.44,Red
0.83,73.28,1070.37,Blue
2.56,235.92,14356.63,Yellow
0.73,71.15,1439.17,Blue
2.75,104.44,9128.72,Red
0.56,149.19,1912.39,Blue
0.93,96.04,1118.24,Blue
3.97,151.92,14888.75,Yellow
3.82,185.14,8971.52,Yellow
0.65,119.34,1084.85,Blue
0.56,72.34,1004.28,Blue
1.48,119.71,5212.8,Red
2.12,145.19,9888.97,Red
1.12,118.28,9436.44,Red
2.33,107.48,6908.19,Red
0.86,90.62,1072.6,Blue
0.89,136.61,1397.45,Blue
0.58,111.92,1805.64,Blue
2.63,249.48,11377.93,Yellow
1.97,119.24,9313.27,Red
1.7,126.42,7382.47,Red
3.58,299.85,12514.3,Yellow
3.33,267.55,8082.28,Yellow
0.78,139.99,1028.55,Blue
2.5,162.37,8094.66,Yellow
1.13,133.46,5561.82,Red
3.34,217.37,12957.0,Yellow
2.86,214.55,10863.25,Yellow
1.01,113.86,6603.14,Red
0.88,80.58,1838.22,Blue
3.09,251.15,8533.62,Yellow
0.9,139.56,1965.73,Blue
3.03,271.84,9171.02,Yellow
0.92,112.41,1352.07,Blue
0.72,98.68,1599.78,Blue
0.93,145.66,1302.79,Blue
2.51,137.59,7669.9,Red
1.03,126.98,7008.37,Red
1.09,120.2,6928.55,Red
2.49,275.47,7938.55,Yellow
1.9,125.69,5590.23,Red
0.84,91.2,1643.63,Blue
0.51,141.58,1070.39,Blue
2.06,290.2,10968.31,Yellow
1.18,113.31,9845.43,Red
0.5,87.32,1405.82,Blue
1.13,148.49,9746.05,Red
1.76,138.21,8833.54,Red
0.66,70.05,1371.0,Blue
0.75,134.37,1263.04,Blue
0.56,110.9,1655.67,Blue
0.77,140.08,1426.25,Blue
3.77,286.46,13165.01,Yellow
0.98,71.66,1839.76,Blue
3.61,202.25,8352.91,Yellow
2.78,291.66,13653.12,Yellow
0.75,94.5,1807.33,Blue
3.71,264.98,8672.37,Yellow
2.09,121.5,7680.09,Red
1.29,127.42,8318.82,Red
0.6,80.91,1816.87,Blue
2.4,245.85,7691.76,Yellow
2.99,214.93,13623.92,Yellow
0.93,112.91,1576.62,Blue
1.41,112.4,8591.41,Red
0.59,100.88,1698.3,Blue
2.48,131.45,7290.88,Red
1.95,115.12,5705.07,Red
0.67,134.63,1754.04,Blue
1.8,135.96,8397.75,Red
2.57,188.8,11467.43,Yellow
2.82,107.97,8518.6,Red
2.95,233.85,8252.91,Yellow
0.5,142.78,1817.92,Blue
2.68,123.08,7690.01,Red
1.52,122.71,7661.94,Red
0.59,87.05,1464.9,Blue
2.9,292.22,9062.09,Yellow
2.4,163.93,12605.53,Yellow
0.69,84.12,1879.77,Blue
0.75,143.24,1702.21,Blue
2.41,131.97,6751.89,Red
3.02,226.73,8675.81,Yellow
0.82,101.55,1472.51,Blue
3.4,192.74,14769.96,Yellow
0.56,72.89,1356.81,Blue
2.92,126.42,8800.81,Red
0.66,108.22,1118.23,Blue
2.63,210.61,12956.54,Yellow
1.03,101.82,9530.57,Red
3.65,293.83,7247.72,Yellow
2.69,175.88,7926.64,Yellow
2.44,268.76,7628.24,Yellow
0.96,134.48,1981.21,Blue
2.02,137.56,9797.17,Red
2.18,149.36,8589.76,Red
0.94,87.35,1966.97,Blue
3.08,197.23,13146.44,Yellow
2.7,139.05,7642.89,Red
2.79,229.83,11344.16,Yellow
0.99,117.6,1926.97,Blue
